# CFB Rankings Export
# Generated: 2025-06-05T06:45:18.152064
# Season: 2024
#
rank_retro,team,conference,rating_retro,conf_weight,quality_wins,uncertainty
1,Notre Dame,Independent,0.011493352700624451,0.5,"['Texas', 'Miami (OH)', 'Jacksonville State']",0.0
2,Texas,Big 12,0.011016113210572116,0.0793148558931967,"['Notre Dame', 'Miami (OH)', 'Jacksonville State']",0.0
3,Miami (OH),Independent,0.009991773768303451,0.5,"['Notre Dame', 'Texas', 'Jacksonville State']",0.0
4,Jacksonville State,Independent,0.009377208060149987,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
5,Arizona State,Pac-12,0.009373463538695802,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
6,SMU,Independent,0.009333033440855868,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
7,Ohio,Independent,0.0092789238566667,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
8,Boise State,Independent,0.009274852444885786,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
9,UConn,Independent,0.009232490253773453,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
10,Army,Independent,0.009147517626770862,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
11,Penn State,Big Ten,0.00910670638665628,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
12,Tulane,Independent,0.009067919420229878,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
13,Houston,Independent,0.00905140853081444,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
14,Memphis,Independent,0.00898191374388107,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
15,Colorado State,Independent,0.008942226339306114,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
16,Western Kentucky,Independent,0.008760847334733098,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
17,UNLV,Independent,0.008734271010325022,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
18,Temple,Independent,0.0086935963429816,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
19,Western Michigan,Independent,0.008660009837486247,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
20,Buffalo,Independent,0.008623306516177601,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
21,Coastal Carolina,Independent,0.008588159485304392,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
22,Louisiana,Independent,0.008556588132285704,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
23,Sam Houston,Independent,0.008504964157911233,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
24,Louisiana Tech,Independent,0.008493046435144347,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
25,Arkansas State,Independent,0.008491449858449946,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
26,UTSA,Independent,0.008473837959446857,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
27,USC,Pac-12,0.008449229613857412,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
28,Fresno State,Independent,0.008437976191091602,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
29,South Florida,Independent,0.008417976809304993,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
30,Akron,Independent,0.008402551419651834,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
31,Oklahoma,Big 12,0.008388667168081355,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
32,Ohio State,Big Ten,0.00837259944866643,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
33,Bowling Green,Independent,0.008370770598642923,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
34,East Carolina,Independent,0.008370220207683006,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
35,BYU,Independent,0.008322520641046645,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
36,Marshall,Independent,0.008269782283830449,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
37,UTEP,Independent,0.00825897059055542,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
38,James Madison,Independent,0.00824677227579283,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
39,Old Dominion,Independent,0.008232258281492407,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
40,Toledo,Independent,0.008178993557947602,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
41,North Texas,Independent,0.008152701707779826,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
42,Northern Illinois,Independent,0.008148059962065303,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
43,Georgia State,Independent,0.00812282887452302,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
44,California,Pac-12,0.008114134961019743,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
45,San José State,Independent,0.008096709321774814,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
46,Utah State,Independent,0.008095243495150893,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
47,Kent State,Independent,0.008094648076668562,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
48,Nevada,Independent,0.008081191449847418,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
49,Southern Miss,Independent,0.008041391643039644,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
50,Colorado,Pac-12,0.008038385434780465,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
51,Middle Tennessee,Independent,0.008032613670741756,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
52,Navy,Independent,0.008027572690743948,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
53,New Mexico,Independent,0.008014356659585177,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
54,South Alabama,Independent,0.008003000622559183,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
55,UL Monroe,Independent,0.007989263078815912,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
56,UAB,Independent,0.007981179194135093,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
57,Air Force,Independent,0.007976166611278174,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
58,Cincinnati,Independent,0.007964617386245773,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
59,Georgia Southern,Independent,0.007961479615929546,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
60,UCF,Independent,0.00791815486721666,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
61,Florida Atlantic,Independent,0.007847824900384843,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
62,Oregon,Pac-12,0.007841520218527971,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
63,New Mexico State,Independent,0.007801922322955596,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
64,Troy,Independent,0.007765111311263575,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
65,Stanford,Pac-12,0.0077461191047215935,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
66,Rice,Independent,0.0076945242956572985,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
67,Texas State,Independent,0.0076589183247025095,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
68,Florida International,Independent,0.007640111618120211,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
69,Kennesaw State,Independent,0.00758551941133982,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
