# CFB Rankings Export
# Generated: 2025-06-05T06:45:18.152064
# Season: 2024
#
rank_retro,team,conference,rating_retro,conf_weight,quality_wins,uncertainty
70,App State,Independent,0.0075326542315544785,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
71,Charlotte,Independent,0.007520266252333314,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
72,Eastern Michigan,Independent,0.007465457177492083,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
73,Ball State,Independent,0.0074207101850086235,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
74,Michigan,Big Ten,0.007402174885567591,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
75,Tulsa,Independent,0.007362212129999152,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
76,Oregon State,Pac-12,0.007350783751606114,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
77,San Diego State,Independent,0.0073366240804092235,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
78,Central Michigan,Independent,0.007332046685857174,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
79,Liberty,Independent,0.007249397198217044,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
80,Massachusetts,Independent,0.007194482101859146,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
81,Washington,Pac-12,0.007165010108931073,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
82,Wyoming,Independent,0.007151625767874535,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
83,Arizona,Pac-12,0.007121320193067701,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
84,UCLA,Pac-12,0.007120066355015318,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
85,Washington State,Pac-12,0.007108863004589519,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
86,Kansas State,Big 12,0.006895410548248023,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
87,Virginia Tech,ACC,0.006875390405736347,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
88,Hawai'i,Independent,0.006729701090598453,0.5,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
89,Indiana,Big Ten,0.006722374734984096,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
90,Georgia,SEC,0.006706175535985135,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
91,Tennessee,SEC,0.006692062710268373,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
92,Clemson,ACC,0.006684896275958351,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
93,Nebraska,Big Ten,0.006625034211335568,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
94,Alabama,SEC,0.006603190337964145,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
95,LSU,SEC,0.0065968047091099135,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
96,Ole Miss,SEC,0.006567688486715325,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
97,Florida,SEC,0.006549926202104671,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
98,Missouri,SEC,0.006540501126898129,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
99,TCU,Big 12,0.006517892508859127,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
100,Arkansas,SEC,0.006465422786070513,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
101,Texas Tech,Big 12,0.006390340155046383,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
102,Vanderbilt,SEC,0.006353028277028103,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
103,Baylor,Big 12,0.006352582736256507,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
104,Rutgers,Big Ten,0.006349694002811049,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
105,Boston College,ACC,0.006231806457447397,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
106,Iowa State,Big 12,0.006212364103075644,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
107,Texas A&M,SEC,0.006193219528524803,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
108,Syracuse,ACC,0.00617616537970459,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
109,Illinois,Big Ten,0.00613969650187533,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
110,NC State,ACC,0.006099239312520742,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
111,Louisville,ACC,0.006058694389667933,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
112,West Virginia,Big 12,0.006058223981015778,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
113,Iowa,Big Ten,0.0060129657581003025,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
114,Minnesota,Big Ten,0.006000691810382947,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
115,Florida State,ACC,0.005984477938081828,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
116,South Carolina,SEC,0.005971135138315981,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
117,Utah,Pac-12,0.005894788430425753,0.05191671043751006,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
118,Pittsburgh,ACC,0.005880795568104896,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
119,Mississippi State,SEC,0.0058219950653919435,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
120,Kansas,Big 12,0.005811907780535425,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
121,Oklahoma State,Big 12,0.005792541271781763,0.0793148558931967,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
122,Duke,ACC,0.005774025099760616,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
123,Wisconsin,Big Ten,0.005691345557027806,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
124,Auburn,SEC,0.005632406593056566,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
125,Georgia Tech,ACC,0.005574863044567237,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
126,Kentucky,SEC,0.005563831223270704,0.18076638830126976,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
127,Northwestern,Big Ten,0.005544962797878003,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
128,Michigan State,Big Ten,0.0055404018661496645,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
129,Maryland,Big Ten,0.005477122902776631,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
130,Miami,ACC,0.005470998663443318,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
131,North Carolina,ACC,0.005352927249865013,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
132,Virginia,ACC,0.005304404381097357,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
133,Purdue,Big Ten,0.005183980014117428,0.16728416799379034,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
134,Wake Forest,ACC,0.00509267092902464,0.1397727412739303,"['Notre Dame', 'Texas', 'Miami (OH)']",0.0
